"","SubsetID","Gompertz_AICc","Gompertz_Rsqrd","Gompertz_BIC","Gompertz_r_max","Gompertz_t_lag","Gompertz_N_0","Gompertz_K","Logistic_AICc","Logistic_Rsqrd","Logistic_BIC","Logistic_r_max","Logistic_N_0","Logistic_K","Medium","Actual_K","Units","Cubic_AICc","Cubic_Rsqrd","Temperature","Cubic_BIC","Species","Rsqrd_Winner","AIC_Winner","BIC_Winner","Gomp_delta_AICc","Logi_delta_AICc","Cubic_delta_AICc","Gomp_Akaike","Logi_Akaike","Cubic_Akaike","Akaike_sum","Akaike_Winner","Gomp_delta_AICc2","Logi_delta_AICc2","Gomp_Akaike2","Logi_Akaike2","Akaike2sum","Rmax","K"
"76",111,12.5907649509649,0.99288588151864,7.51567937549169,0.0854256318123302,114.014823536727,-0.018076307421623,6.07962308345055,38.5985496519111,0.878171311174989,36.3636640417348,0.0186528976517016,1.020528612233,472.670237136,"Raw Chicken Breast",6.24616369889109,"CFU",31.3546960657483,0.960830701140215,2,26.2796104902752,"Pseudomonas spp.","Gompertz","Gompertz","Gompertz",0,26.0077847009462,18.7639311147835,0.99991352644797,2.2513538135915e-06,8.42221982168126e-05,1,"Gompertz",0,26.0077847009462,0.999997748456557,2.25154344352969e-06,1,0.09,6.08
"77",112,26.1619055677433,0.994848936395716,5.94554616396456,0.0987480362111976,109.890031262251,0.25205961874573,7.07009235671795,33.0450671862993,0.89825069222486,24.8827976334652,0.0204430229751288,1.37477339920939,1358.40672925893,"Raw Chicken Breast",7.24048757745292,"CFU",36.3415278597981,0.977947301519704,4,16.1251684560193,"Pseudomonas spp.","Gompertz","Gompertz","Gompertz",0,6.88316161855596,10.1796222920548,0.963230394080429,0.0308368936864152,0.00593271223315552,1,"Gompertz",0,6.88316161855596,0.968979068051128,0.0310209319488721,1,0.1,48.99
"78",113,12.3586004533257,0.99222303132896,7.28351487785252,0.112396006259224,88.3174879547466,-0.00923832494898251,6.49497765534901,39.1535115408338,0.856940859393426,36.9186259306575,0.0273673213137884,0.972455776677133,656.209980383781,"Raw Chicken Breast",6.48648082977401,"CFU",8.32941648491502,0.994608211329858,7,3.25433090944183,"Pseudomonas spp.","Cubic","Cubic","Cubic",4.02918396841069,30.8240950559188,0,0.117679329136743,1.78755399792225e-07,0.882320492107857,1,"No clear winner",0,26.7949110875081,0.999998480998069,1.51900193155176e-06,1,0.11,6.5
"79",114,6.06922606910402,0.996376849043792,3.32902349895017,0.203273436193823,33.1398907260127,-0.173165204049735,7.62801094812837,40.0166033042288,0.931144223540275,39.0447847099468,0.0547517683701054,0.976118947488415,1917.28413795579,"Raw Chicken Breast",7.5586649521747,"CFU",23.0055744314229,0.986668360698378,10,20.265371861269,"Pseudomonas spp.","Gompertz","Gompertz","Gompertz",0,33.9473772351248,16.9363483623189,0.999789953562488,4.24941810839009e-08,0.000210003943330298,1,"Gompertz",0,33.9473772351248,0.999999957496893,4.25031069039545e-08,1,0.2,7.63
"80",115,16.6978118815499,0.992277902877482,12.9231527664162,0.249643104567084,5.8900073031303,-0.396396310113443,9.4389197776993,29.7933442569122,0.965936123500131,28.2480642062762,0.089766869884905,1.3026461843735,5349.67399309702,"Raw Chicken Breast",8.58479090216367,"CFU",15.9177494849287,0.992763911663168,15,12.143090369795,"Pseudomonas spp.","Cubic","No clear winner","No clear winner",0.780062396621222,13.8755947719835,0,0.403476321697013,0.000578308171342751,0.595945370131644,1,"No clear winner",0,13.0955323753623,0.998568737669134,0.00143126233086642,1,0.25,17.08
"81",116,6.16913456659684,0.998318291061329,-3.04196712405828,0.433439467177466,8.75067992333409,0.364972616892708,9.18109395414269,30.1294668557689,0.946372089811072,25.9211405877776,0.14273749863194,1.98881224454984,4390.00398487021,"Raw Chicken Breast",8.38708541378412,"CFU",12.2924171977091,0.996679301213701,20,3.08131550705397,"Pseudomonas spp.","Gompertz","Gompertz","Gompertz",0,23.9603322891721,6.12328263111225,0.95527674361136,5.98699859210089e-06,0.0447172693900477,1,"Gompertz",0,23.9603322891721,0.999993732746966,6.26725303437462e-06,1,0.43,9.21
"82",117,-2.97772803735331,0.998132767888186,-8.05281361282649,0.0857516566520273,138.83889261815,0.165989192552901,5.74819611278549,39.7297265710363,0.854067595747426,37.49484096086,0.0177339470668879,1.17398845300731,324.23988825508,"Salted Chicken Breast",5.95070422535203,"CFU",35.3808052829101,0.938955898827506,2,30.3057197074369,"Pseudomonas spp.","Gompertz","Gompertz","Gompertz",0,42.7074546083896,38.3585333202634,0.999999994784372,5.32346081256984e-10,4.68328211896283e-09,1,"Gompertz",0,42.7074546083896,0.999999999467654,5.32346083750111e-10,1,0.09,5.75
"83",118,25.635649334081,0.991903530613431,5.4192899303022,0.0959616082583132,133.348837981292,0.0580215574061932,4.96723757475932,35.2600812390129,0.76340568295209,27.0978116861788,0.0193159322817343,1.03381421721742,167.222803104002,"Salted Chicken Breast",5.11932707355236,"CFU",36.3075806519529,0.962811866989452,4,16.0912212481742,"Pseudomonas spp.","Gompertz","Gompertz","Gompertz",0,9.62443190493192,10.671931317872,0.98722035121887,0.00802592811721859,0.00475372066391191,1,"Gompertz",0,9.62443190493192,0.991935736627348,0.00806426337265239,1,0.1,6.28
"84",119,3.61341299232225,0.995091174242014,-0.161246122811464,0.101335676310823,101.844564120914,0.187241537363306,5.61354347626332,44.8886475517363,0.773330098017255,43.3433675011003,0.0249907885266838,1.03381421721742,233.1956811284,"Salted Chicken Breast",5.45187793427225,"CFU",-0.71777858257633,0.996578421039788,7,-4.49243769771004,"Pseudomonas spp.","Cubic","Cubic","Cubic",4.33119157489858,45.6064261343126,0,0.102882822834925,1.12082953734112e-10,0.897117177052992,1,"No clear winner",0,41.2752345594141,0.999999998910577,1.08942338986793e-09,1,0.1,5.61
"85",120,2.90156748447759,0.995811574521548,0.161364914323736,0.198010965619368,39.5154680489262,0.0196803452155913,6.14053737936509,50.4450764105947,0.773475929644549,49.4732578163126,0.0408544457421271,2.49211577591411,535.529022843063,"Salted Chicken Breast",6.28325508607194,"CFU",24.2648114520021,0.978336012027369,10,21.5246088818482,"Pseudomonas spp.","Gompertz","Gompertz","Gompertz",0,47.5435089261171,21.3632439675245,0.999977037379991,4.74294664200952e-11,2.29625725794597e-05,1,"Gompertz",0,47.5435089261171,0.999999999952569,4.74305555476694e-11,1,0.2,6.14
"86",121,-1.62935276719777,0.997242416863791,-5.40401188233149,0.197150845137435,0,-0.612955856438912,7.69807086119316,18.5254250923458,0.978093649207673,16.9801450417098,0.0725733889903015,1.26953938677518,1082.98937710397,"Salted Chicken Breast",6.98748043818462,"CFU",0.0955585827033003,0.996816130651726,15,-3.67910053243041,"Pseudomonas spp.","Gompertz","No clear winner","No clear winner",0,20.1547778595435,1.72491134990107,0.703152683957058,2.95457646867714e-05,0.296817770278256,1,"No clear winner",0,20.1547778595435,0.999957982776814,4.2017223186176e-05,1,0.2,7.74
"87",123,17.6293447756217,0.992883847993498,10.8396851475979,0.0616383167326708,150.060878218179,0.210802330058732,8.0467291737252,47.6384327227808,0.739324607724431,44.5461880017629,0.0141402323713943,2.7244579292482,2567.92818956716,"Cooked Chicken Breast",7.85085470085467,"CFU",23.4125060331925,0.987311662600423,2,16.6228464051687,"Pseudomonas spp.","Gompertz","Gompertz","Gompertz",0,30.0090879471591,5.78316125757082,0.947428391236359,2.88506594032963e-07,0.0525713202570465,1,"Gompertz",0,30.0090879471591,0.999999695484631,3.04515369020957e-07,1,0.06,8.05
"88",124,50.8834336259693,0.96745794297095,10.0504715028815,0.0776814742739168,342.642589773348,6.80670084648372,2.98974358974359,37.6833574632477,0.464864159895831,25.0586358709318,0.0115255465921438,19.8805842522665,1268.67267576939,"Cooked Chicken Breast",7.14572649572647,"CFU",42.6134217438689,0.991799476435941,4,1.78045962078112,"Pseudomonas spp.","Cubic","Logistic","Cubic",13.2000761627216,0,4.93006428062122,0.00125217072321294,0.920499727958286,0.0782481013185015,1,"Logistic",13.2000761627216,0,0.00135846828740368,0.998641531712596,1,0.01,1266.95
"89",125,-7.50143077814385,0.998569749842893,-10.2416333482977,0.137075516791347,125.262619223499,-0.0405018418303706,6.76042182233553,56.4756671720052,0.726172615502341,55.5038485777231,0.0255666882278346,0.956528739103029,910.988172809688,"Cooked Chicken Breast",6.8145299145299,"CFU",22.7732139793891,0.985317325525348,7,20.0330114092352,"Pseudomonas spp.","Gompertz","Gompertz","Gompertz",0,63.977097950149,30.2746447575329,0.999999733348319,1.28100132875099e-14,2.66651667762738e-07,1,"Gompertz",0,63.977097950149,0.999999999999987,1.28100167033223e-14,1,0.14,6.76
"90",126,21.7669948610657,0.985846380064967,16.6919092855925,0.258324380259154,0,-3.76778229157838,8.42553980750871,46.2509890666195,0.788974590919229,44.0161034564432,0.0498903151617587,3.47583468058133,3500.57934416505,"Cooked Chicken Breast",8.16068376068374,"CFU",21.0180197358297,0.986778004488753,10,15.9429341603565,"Pseudomonas spp.","Cubic","No clear winner","No clear winner",0.748975125236001,25.2329693307898,0,0.407456314099925,1.96539235761664e-06,0.592541720507717,1,"No clear winner",0,24.4839942055538,0.999995176457428,4.82354257242149e-06,1,0.26,8.44
"91",127,12.7753662513753,0.994537467703878,9.00070713624161,0.342419428191125,5.07187560027692,-0.777037955208734,8.90262300838057,26.5821188975618,0.974432236080358,25.0368388469258,0.10092170311878,1.08736863769518,6166.72435317242,"Cooked Chicken Breast",8.72692307692305,"CFU",20.0675791380797,0.989969836730439,15,16.292920022946,"Pseudomonas spp.","Gompertz","Gompertz","Gompertz",0,13.8067526461865,7.29221288670435,0.973617959314531,0.000977890737737505,0.0254041499477316,1,"Gompertz",0,13.8067526461865,0.998996619226641,0.00100338077335858,1,0.34,15.08
"92",128,20.1506330433013,0.99272114785484,10.9395313526462,0.646493340822904,14.1384322375432,0.193647925658775,8.21179817409324,40.0615761949832,0.851986987194211,35.8532499269918,0.168969407347303,1.2628023432938,2797.0617951471,"Cooked Chicken Breast",7.93632478632476,"CFU",25.2540436645944,0.987167015095004,20,16.0429419739393,"Pseudomonas spp.","Gompertz","Gompertz","Gompertz",0,19.9109431516819,5.10341062129305,0.927647146710653,4.4032814224075e-05,0.0723088204751226,1,"Gompertz",0,19.9109431516819,0.999952535051323,4.74649486768071e-05,1,0.65,8.34
"93",129,-3.90829048900615,0.998853329900182,-10.69795011703,0.0610484692679322,140.00427084669,0.156107966386645,6.68702364607796,42.4460346372484,0.784643522634349,39.3537899162306,0.0163991017035418,1.07591421390518,610.71728678749,"Raw Chicken Breast",6.41463414634147,"CFU",9.7972375539791,0.995484955779109,2,3.00757792595529,"Aerobic Psychotropic.","Gompertz","Gompertz","Gompertz",0,46.3543251262546,13.7055280429853,0.99894458361676,8.58672568742483e-11,0.00105541629737282,1,"Gompertz",0,46.3543251262546,0.999999999914042,8.59579783254622e-11,1,0.06,6.69
"94",130,43.694141304584,0.994996102180882,2.86117918149617,0.0864300469195344,169.148713518913,1.63918057375285,7.07488145284543,38.6871976564818,0.677621421508935,26.062476064166,0.0158302223309704,5.51414755975255,1399.5449667538,"Raw Chicken Breast",7.2439024390244,"CFU",44.4674678910919,0.994307753777276,4,3.63450576800415,"Aerobic Psychotropic.","Gompertz","Logistic","No clear winner",5.00694364810215,0,5.78027023461014,0.0719208039324441,0.879221970788922,0.0488572252786339,1,"No clear winner",5.00694364810215,0,0.0756151503684744,0.924384849631526,1,0.02,1294.25
"95",132,12.148255496925,0.991601684084062,8.37359638179127,0.218949549061277,50.9571876566946,0.0284309026527992,5.90394482435632,46.0587360949078,0.79007260652561,44.5134560442718,0.0438424220264495,1.12987589484843,467.005700118048,"Raw Chicken Breast",6.14634146341464,"CFU",27.257524108749,0.970418862333669,10,23.4828649936153,"Aerobic Psychotropic.","Gompertz","Gompertz","Gompertz",0,33.9104805979828,15.109268611824,0.999476553232814,4.32718346827817e-08,0.000523403495351694,1,"Gompertz",0,33.9104805979828,0.999999956705505,4.32944951728847e-08,1,0.22,5.9
"96",133,19.8778183763433,0.989417214349028,13.0881587483195,0.323226486962093,24.1578465735329,0.315883088167322,7.96039057483555,44.6762944320311,0.769770579688576,41.5840497110133,0.101288474173523,1.1575913956832,1487.53854364841,"Raw Chicken Breast",7.30487804878049,"CFU",14.4173985979746,0.993870049297065,15,7.6277389699508,"Aerobic Psychotropic.","Cubic","Cubic","Cubic",5.4604197783687,30.2588958340565,0,0.0612140845763158,2.52307815781985e-07,0.938785663115868,1,"Cubic",0,24.7984760556878,0.999995878288835,4.12171116481357e-06,1,0.32,7.97
"97",135,-4.04994932354766,0.998666627737384,-10.8396089515715,0.0588742540043115,120.04207957013,0.0359606693828918,5.95193763250894,35.7599991840884,0.869847593724086,32.6677544630705,0.0147009756670488,1.11529752491156,396.053646514854,"Salted Chicken Breast",5.98154967307622,"CFU",21.5661187854461,0.982724003026948,2,14.7764591574223,"Aerobic Psychotropic.","Gompertz","Gompertz","Gompertz",0,39.8099485076361,25.6160681089938,0.999997259059653,2.26661797617571e-09,2.73867372850613e-06,1,"Gompertz",0,39.8099485076361,0.999999997733376,2.26662418371982e-09,1,0.06,5.95
"98",136,39.8929121035533,0.996999275072838,-0.940050019534496,0.0733447730831417,164.874734312866,1.00551843637319,6.31931970911934,38.6671333568832,0.636943872295973,26.0424117645674,0.015688757132984,3.19662289746867,498.941791686821,"Salted Chicken Breast",6.21248943902118,"CFU",41.7585918651596,0.995904861539591,4,0.925629742071852,"Aerobic Psychotropic.","Gompertz","No clear winner","No clear winner",1.22577874667009,0,3.09145850827644,0.308719002950784,0.569820193427294,0.121460803621922,1,"No clear winner",1.22577874667009,0,0.351400374876305,0.648599625123696,1,0.04,325.83
