"","X","mt_id","institution_code","collection_code","specimen_id","authority","taxonomy_notes","morphospecies","species","subgenus","genus","subtribe","tribe","subfamily","family","superfamily","infraorder","suborder","order","class","ncbi_may_edit","ncbi_search_success","ncbi_species","ncbi_id_rank","ncbi_taxid","variant_status","chimera_notes","traptype","dev_stage","site","locality","subregion","country","latitude","longitude","size","feeding_behaviour","habitat","habitat_stratum","authors","library","datasubmitter","projectname","genbank_accession","notes","contigname"
"GBDL02655",1687,"GBDL02655","",NA,"IBE<ESP> AN82","","","","Hydroporus planus","","Hydroporus","","Hydroporini","Hydroporinae","Dytiscidae","Dytiscoidea","","Adephaga","Coleoptera","Insecta",TRUE,TRUE,"Hydroporus planus","species",107871,"unconsidered species duplicate","","","","","","","Morocco",NA,NA,NA,NA,"","","Villastrigo A. and Abellan P. and Ribera I.","","","","MW465248","","MW465248"
"GBDL02692",1688,"GBDL02692","BMNH",NA,"ER2","","","","Hydroporus puberulus","","Hydroporus","","Hydroporini","Hydroporinae","Dytiscidae","Dytiscoidea","","Adephaga","Coleoptera","Insecta",TRUE,TRUE,"Hydroporus puberulus","species",254285,"","","","","","","","Sweden",NA,NA,NA,NA,"","","Villastrigo A. and Abellan P. and Ribera I.","","","","MW465285","","MW465285"
"GBDL02693",1689,"GBDL02693","",NA,"MNCN AH189","","","","Hydroporus sanfilippoi","","Hydroporus","","Hydroporini","Hydroporinae","Dytiscidae","Dytiscoidea","","Adephaga","Coleoptera","Insecta",TRUE,TRUE,"Hydroporus sanfilippoi","species",1090911,"","","","","","","","Italy",NA,NA,NA,NA,"","","Villastrigo A. and Abellan P. and Ribera I.","","","","MW465286","","MW465286"
"GBDL02656",1690,"GBDL02656","",NA,"IBE<ESP> RA682","","","","Hydroporus signatus","","Hydroporus","","Hydroporini","Hydroporinae","Dytiscidae","Dytiscoidea","","Adephaga","Coleoptera","Insecta",TRUE,TRUE,"Hydroporus signatus","species",1895289,"","","","","","","Nova Scotia","Canada",NA,NA,NA,NA,"","","Villastrigo A. and Abellan P. and Ribera I.","","","","MW465249","","MW465249"
"GBDL02657",1691,"GBDL02657","",NA,"IBE<ESP> AN585","","","","Hydroporus sp. IBE<ESP> AN585","","Hydroporus","","Hydroporini","Hydroporinae","Dytiscidae","Dytiscoidea","","Adephaga","Coleoptera","Insecta",TRUE,TRUE,"Hydroporus sp. IBE<ESP> AN585","species",2811613,"","","","","","","","Croatia",NA,NA,NA,NA,"","","Villastrigo A. and Abellan P. and Ribera I.","","","","MW465250","","MW465250"
"GBDL02694",1692,"GBDL02694","",NA,"IBE<ESP> AV45","","","","Hydroporus sp. IBE<ESP> AV45","","Hydroporus","","Hydroporini","Hydroporinae","Dytiscidae","Dytiscoidea","","Adephaga","Coleoptera","Insecta",TRUE,TRUE,"Hydroporus sp. IBE<ESP> AV45","species",2811614,"","","","","","","","Cyprus",NA,NA,NA,NA,"","","Villastrigo A. and Abellan P. and Ribera I.","","","","MW465287","","MW465287"
"GBDL02695",1693,"GBDL02695","BMNH",NA,"IR526","","","","Hydroporus sp. NHM-IR526","","Hydroporus","","Hydroporini","Hydroporinae","Dytiscidae","Dytiscoidea","","Adephaga","Coleoptera","Insecta",TRUE,TRUE,"Hydroporus sp. NHM-IR526","species",2811598,"","","","","","","","Canada",NA,NA,NA,NA,"","","Villastrigo A. and Abellan P. and Ribera I.","","","","MW465288","","MW465288"
"GBDL02696",1694,"GBDL02696","BMNH",NA,"ER23","","","","Hydroporus submuticus","","Hydroporus","","Hydroporini","Hydroporinae","Dytiscidae","Dytiscoidea","","Adephaga","Coleoptera","Insecta",TRUE,TRUE,"Hydroporus submuticus","species",254289,"","","","","","","","Sweden",NA,NA,NA,NA,"","","Villastrigo A. and Abellan P. and Ribera I.","","","","MW465289","","MW465289"
"GBDL01784",1695,"GBDL01784","",NA,"","","","","Hydroscapha granulum","","Hydroscapha","","","","Hydroscaphidae","","","Myxophaga","Coleoptera","Insecta",NA,TRUE,"Hydroscapha granulum","species",426698,"unconsidered species duplicate","","","","","","","",NA,NA,NA,NA,"","","","","","","AM493667","","AM493667"
"SRAA00095",1696,"SRAA00095","",NA,"","","","","Hydroscapha redfordi","","Hydroscapha","","","","Hydroscaphidae","","","Myxophaga","Coleoptera","Insecta",NA,TRUE,"Hydroscapha redfordi","species",931173,"","","","","","","","",NA,NA,NA,NA,"","","","","","","SRR2083676","","Hydroscapha_redfordi"
"GBDL00305",1697,"GBDL00305","",NA,"","","","","Hydrothassa fairmairei","","Hydrothassa","","Chrysomelini","Chrysomelinae","Chrysomelidae","Chrysomeloidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Hydrothassa fairmairei","species",1425571,"","","","","","","","Spain",NA,NA,NA,NA,"","","C Gomez Rodriguez","","C Gomez Rodriguez","Spanish Chrysomelidae","KX943429","","KX943429"
"GBDL01685",1698,"GBDL01685","",NA,"","","","","Hydrothassa glabra","","Hydrothassa","","Chrysomelini","Chrysomelinae","Chrysomelidae","Chrysomeloidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Hydrothassa glabra","species",1425572,"unconsidered species duplicate","","","","","","","Spain",NA,NA,NA,NA,"","","C Gomez Rodriguez","","C Gomez Rodriguez","Spanish Chrysomelidae","KX943392","","KX943392"
"GBDL01989",1699,"GBDL01989","",NA,"","","","","Hydrothassa glabra","","Hydrothassa","","Chrysomelini","Chrysomelinae","Chrysomelidae","Chrysomeloidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Hydrothassa glabra","species",1425572,"unconsidered species duplicate","","","","","","","",NA,NA,NA,NA,"","","Gomez-Rodriguez C. and Crampton-Platt A. and Timmermans M.J.T.N. and Baselga A. and Vogler A.P.","","","","KX943369","","KX943369"
"GBDL00502",1700,"GBDL00502","BMNH",NA,"1425190","","","","Hygrobia hermanni","","Hygrobia","","","","Hygrobiidae","Dytiscoidea","","Adephaga","Coleoptera","Insecta",TRUE,TRUE,"Hygrobia hermanni","species",107881,"unconsidered species duplicate","","Collected with a net from freshwater","","Adams Pond","Richmond Park","London","United Kingdom",NA,NA,NA,NA,"","","P Arribas","","B Linard","Ethanol Preservation Fluid","SRR5889472|NC_030593","","NC_030593"
"GBDL01890",1701,"GBDL01890","BMNH",NA,"1425190","","","","Hygrobia hermanni","","Hygrobia","","","","Hygrobiidae","Dytiscoidea","","Adephaga","Coleoptera","Insecta",TRUE,TRUE,"Hygrobia hermanni","species",107881,"unconsidered species duplicate","","","","","","","United Kingdom",NA,NA,NA,NA,"","","Linard B. and Arribas P. and Andujar C. and Crampton-Platt A. and Vogler A.P.","","","","KT876898","","KT876898"
"GBDL00255",1702,"GBDL00255","BMNH",NA,"1425172","","","","Hygrotus confluens","","Hygrotus","","Hygrotini","Hydroporinae","Dytiscidae","Dytiscoidea","","Adephaga","Coleoptera","Insecta",TRUE,TRUE,"Hygrotus confluens","species",107884,"","","Collected with a net from freshwater","","Adams Pond","Richmond Park","London","United Kingdom",NA,NA,NA,NA,"","","P Arribas","","B Linard","Ethanol Preservation Fluid","KT876901","","KT876901"
"GBDL00110",1703,"GBDL00110","BMNH",NA,"11425158","","","","Hygrotus impressopunctatus","","Hygrotus","","Hygrotini","Hydroporinae","Dytiscidae","Dytiscoidea","","Adephaga","Coleoptera","Insecta",TRUE,TRUE,"Hygrotus impressopunctatus","species",107885,"","","Collected with a net from freshwater","","Adams Pond","Richmond","London","United Kingdom",NA,NA,NA,NA,"","","P Arribas","","B Linard","Ethanol Preservation Fluid","KT876900","","KT876900"
"GBDL00358",1704,"GBDL00358","BMNH",NA,"1425126","","","","Hygrotus inaequalis","","Hygrotus","","Hygrotini","Hydroporinae","Dytiscidae","Dytiscoidea","","Adephaga","Coleoptera","Insecta",TRUE,TRUE,"Hygrotus inaequalis","species",107886,"","","Collected with a net from freshwater","","Adams Pond","Richmond Park","London","United Kingdom",NA,NA,NA,NA,"","","P Arribas","","B Linard","Ethanol Preservation Fluid","KT876899","","KT876899"
"GBDL00320",1705,"GBDL00320","",NA,"","","","","Hygrotus nigrolineatus","","Hygrotus","","Hygrotini","Hydroporinae","Dytiscidae","Dytiscoidea","","Adephaga","Coleoptera","Insecta",TRUE,TRUE,"Hygrotus nigrolineatus","species",878038,"","","","","","","","",NA,NA,NA,NA,"","","A. Hunter and J Moriniere","","Tang Pu","German Barcoding","KX087299","","KX087299"
"GBDL01047",1706,"GBDL01047","BMNH",NA,"1046534","","","","Hylastes ater","","Hylastes","","","Scolytinae","Curculionidae","Curculionoidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Hylastes ater","species",512079,"","","Field capture","","","","","United Kingdom",NA,NA,NA,NA,"","","K Miller","","B Linard","UK_Panama Scolytids","KX035206","","KX035206"
"GBDL01941",1707,"GBDL01941","BMNH",NA,"1047345","","","","Hylastes attenuatus","","Hylastes","","","Scolytinae","Curculionidae","Curculionoidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Hylastes attenuatus","species",471226,"unconsidered species duplicate","","","","","","","United Kingdom",NA,NA,NA,NA,"","","Miller K. and Linard B. and Vogler A.P.","","","","KX035212","","KX035212"
"GBDL01938",1708,"GBDL01938","BMNH",NA,"1046727","","","","Hylastes brunneus","","Hylastes","","","Scolytinae","Curculionidae","Curculionoidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Hylastes brunneus","species",1117389,"unconsidered species duplicate","","","","","","","United Kingdom",NA,NA,NA,NA,"","","Miller K. and Linard B. and Vogler A.P.","","","","KX035208","","KX035208"
"GBDL00614",1709,"GBDL00614","BMNH",NA,"1045743","","","","Hylastes opacus","","Hylastes","","","Scolytinae","Curculionidae","Curculionoidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Hylastes opacus","species",1002010,"representative conspecific","","Field capture","","","","","United Kingdom",NA,NA,NA,NA,"","","K Miller","","B Linard","UK_Panama Scolytids","KX035200","","KX035200"
"GBDL00971",1710,"GBDL00971","",NA,"CG423","","","","Hylastes opacus","","Hylastes","","","Scolytinae","Curculionidae","Curculionoidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Hylastes opacus","species",1002010,"nonrepresentative conspecific","","","","","","","Sweden",NA,NA,NA,NA,"","","C Gillett","","G Prakash","Weevil Tree from Bulk","MH404128","","MH404128"
"GBDL01355",1711,"GBDL01355","BMNH",NA,"840470","","","","Hylecoetus dermestoides","","Hylecoetus","","","","Lymexylidae","Lymexyloidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Hylecoetus dermestoides","species",295947,"","","","","","","","",NA,NA,NA,NA,"","","MJTN Timmermans","LR-PCR","MJTN Timmermans","WhyBarcode","HQ232820","","HQ232820"
"GBDL00785",1712,"GBDL00785","",NA,"","","","","Hylesinus varius","","Hylesinus","","","Scolytinae","Curculionidae","Curculionoidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Hylesinus varius","species",141158,"unconsidered species duplicate","","","","","","","",NA,NA,NA,NA,"","","C Gillett","","G Prakash","Weevil Tree from Bulk","MH281571","","MH281571"
"GBDL01664",1713,"GBDL01664","",NA,"","","","","Hylesinus varius","","Hylesinus","","","Scolytinae","Curculionidae","Curculionoidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Hylesinus varius","species",141158,"unconsidered species duplicate","","","","","","","",NA,NA,NA,NA,"","","A. Hunter and J Moriniere","","Tang Pu","German Barcoding","KX087300","","KX087300"
"GBDL01827",1714,"GBDL01827","",NA,"","","","","Hylobitelus xiaoi","","Hylobitelus","","Hylobiini","Molytinae","Curculionidae","Curculionoidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Hylobitelus xiaoi","species",1247388,"unconsidered species duplicate","","","","","","","",NA,NA,NA,NA,"","","Zhou Z.J. and Li G.H. and Wei J.R.","","","","JX847496","","JX847496"
"GBDL03262",1715,"GBDL03262","",NA,"","","","","Hylobitelus xiaoi","","Hylobitelus","","Hylobiini","Molytinae","Curculionidae","Curculionoidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Hylobitelus xiaoi","species",1247388,"","","","","","","","",NA,NA,NA,NA,"","","Liu T. and Hu K.","","","","OQ161263","","OQ161263"
"GBDL01393",1716,"GBDL01393","",NA,"","","","","Hylobius abietis","","Hylobius","","Hylobiini","Molytinae","Curculionidae","Curculionoidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Hylobius abietis","species",201999,"","","","","","","","",NA,NA,NA,NA,"","","MJTN Timmermans and J. Haran","","MJTN Timmermans","Weevil Mitogenomes","JN163954","","JN163954"
"GBDL00545",1717,"GBDL00545","BMNH",NA,"1045746","","","","Hylurgops palliatus","","Hylurgops","","","Scolytinae","Curculionidae","Curculionoidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Hylurgops palliatus","species",202000,"","","Field capture","","","","","United Kingdom",NA,NA,NA,NA,"","","K Miller","","B Linard","UK_Panama Scolytids","KX035201","","KX035201"
"GBDL03065",1718,"GBDL03065","",NA,"","","","","Hylurgus ligniperda","","Hylurgus","","","Scolytinae","Curculionidae","Curculionoidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Hylurgus ligniperda","species",167147,"","","","","","","","",NA,NA,NA,NA,"","","Li C. and Huang L. and Zhao W. and Yao Y.","","","","OR105874","","OR105874"
"GBDL03167",1719,"GBDL03167","",NA,"","","","","Hylurgus ligniperda","","Hylurgus","","","Scolytinae","Curculionidae","Curculionoidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Hylurgus ligniperda","species",167147,"","","","","","","","",NA,NA,NA,NA,"","","An N.","","","","OP651193","","OP651193"
"GBDL02915",1720,"GBDL02915","",NA,"","","","","Hylurgus micklitzi","","Hylurgus","","","Scolytinae","Curculionidae","Curculionoidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Hylurgus micklitzi","species",167148,"","","","","","","","",NA,NA,NA,NA,"","","An N.","","","","OP651194","","OP651194"
"GBDL02229",1721,"GBDL02229","",NA,"31_cucujid","","","","Hymaea magna","","Hymaea","","","","Phloeostichidae","Cucujoidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Hymaea magna","species",1605657,"","","","","","","","Australia",NA,NA,NA,NA,"","","Jin M. and Zwick A. and Slipinski A. and Marris J.W.M. and Thomas M.C. and Pang H.","","","","MK614531","","MK614531"
"GBDL01402",1722,"GBDL01402","",NA,"","","","","Hypera postica","","Hypera","","","Hyperinae","Curculionidae","Curculionoidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Hypera postica","species",36757,"unconsidered species duplicate","","","","","","","",NA,NA,NA,NA,"","","MJTN Timmermans and J. Haran","","MJTN Timmermans","Weevil Mitogenomes","JN163953","","JN163953"
"SPSO00055",1723,"SPSO00055","BMNH",NA,"1042074","","","","Hypera postica","","Hypera","","","Hyperinae","Curculionidae","Curculionoidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Hypera postica","species",36757,"unconsidered species duplicate","","DEEP","Adult","","Sierra de Cabra","Cordoba","Spain",NA,NA,NA,NA,"","","C Andujar","","C Andujar","Beetles from Soil","MK692605","","Contig_62_1042074_Adult_Curculionidae"
"GBDL01673",1724,"GBDL01673","",NA,"","","","","Hypera striata","","Hypera","","","Hyperinae","Curculionidae","Curculionoidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Hypera striata","species",1342020,"","","","","","","","",NA,NA,NA,NA,"","","A. Hunter and J Moriniere","","Tang Pu","German Barcoding","KX087301","","KX087301"
"GBDL03107",1725,"GBDL03107","",NA,"","","","","Hyperaspis festiva","","Hyperaspis","","Hyperaspidini","Scymninae","Coccinellidae","Coccinelloidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Hyperaspis festiva","species",2959466,"","","","","","","","Brazil",NA,NA,NA,NA,"","","Paula D. and Togawa R.","","","","MZ303012","","MZ303012"
"GBDL00830",1726,"GBDL00830","",NA,"","","","","Hyphasis sp. REN-2018","","Hyphasis","","Alticini","Galerucinae","Chrysomelidae","Chrysomeloidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Hyphasis sp. REN-2018","species",2506507,"","","","","","","","",NA,NA,NA,NA,"","","T Breeschoten","","R Nie","Phylogeny Chrysomelidae","MG021088","","MG021088"
"GBDL02570",1727,"GBDL02570","",NA,"","","","","Hyphydrus ovatus","","Hyphydrus","","Hyphydrini","Hydroporinae","Dytiscidae","Dytiscoidea","","Adephaga","Coleoptera","Insecta",TRUE,TRUE,"Hyphydrus ovatus","species",159814,"","","","","","","","",NA,NA,NA,NA,"","","Leerhoei F.","","","","MT874481","","MT874481"
"GBDL01066",1728,"GBDL01066","",NA,"CG439","","","","Hypoborus ficus","","Hypoborus","","","Scolytinae","Curculionidae","Curculionoidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Hypoborus ficus","species",245381,"","","","","","","","Morocco",NA,NA,NA,NA,"","","C Gillett","","G Prakash","Weevil Tree from Bulk","MH404130","","MH404130"
"SRAA00075",1729,"SRAA00075","",NA,"","","","","Hypocaccus fitchi","","Hypocaccus","","","Saprininae","Histeridae","Histeroidea","Staphyliniformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Hypocaccus fitchi","species",1661832,"","","","","","","","",NA,NA,NA,NA,"","","","","","","SRR2083677","","Hypocaccus_fitchi"
"GBDL01687",1730,"GBDL01687","",NA,"","","","","Hypocassida meridionalis","","Hypocassida","","","Cassidinae","Chrysomelidae","Chrysomeloidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Hypocassida meridionalis","species",1425619,"unconsidered species duplicate","","","","","","","Spain",NA,NA,NA,NA,"","","C Gomez Rodriguez","","C Gomez Rodriguez","Spanish Chrysomelidae","KX943396","","KX943396"
"GBDL01986",1731,"GBDL01986","",NA,"","","","","Hypocassida meridionalis","","Hypocassida","","","Cassidinae","Chrysomelidae","Chrysomeloidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Hypocassida meridionalis","species",1425619,"unconsidered species duplicate","","","","","","","",NA,NA,NA,NA,"","","Gomez-Rodriguez C. and Crampton-Platt A. and Timmermans M.J.T.N. and Baselga A. and Vogler A.P.","","","","KX943349","","KX943349"
"GBDL01705",1732,"GBDL01705","",NA,"","","","","Hypocassida subferruginea","","Hypocassida","","","Cassidinae","Chrysomelidae","Chrysomeloidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Hypocassida subferruginea","species",1425620,"","","","","","","","Spain",NA,NA,NA,NA,"","","C Gomez Rodriguez","","C Gomez Rodriguez","Spanish Chrysomelidae","KX943352","","KX943352"
"GBDL01461",1733,"GBDL01461","BMNH",NA,"833953","","","","Hypomedon debilicornis","","Hypomedon","","","Paederinae","Staphylinidae","Staphylinoidea","Staphyliniformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Hypomedon debilicornis","species",347366,"","","","","","","","United Kingdom",NA,NA,NA,NA,"","","MJTN Timmermans","","MJTN Timmermans","Mitogenomics Coleoptera","JX313672","","JX313672"
"GBDL00179",1734,"GBDL00179","BMNH",NA,"1039837","","","","Hypothenemus sp. BMNH 1039837","","Hypothenemus","","","Scolytinae","Curculionidae","Curculionoidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Hypothenemus sp. BMNH 1039837","species",1903764,"","","FIT","","","Barro Colorado Island","","Panama",NA,NA,NA,NA,"","","K Miller","","B Linard","UK_Panama Scolytids","KX035163","","KX035163"
"GBDL00477",1735,"GBDL00477","BMNH",NA,"1039866","","","","Hypothenemus sp. BMNH 1039866","","Hypothenemus","","","Scolytinae","Curculionidae","Curculionoidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Hypothenemus sp. BMNH 1039866","species",1903766,"","","FIT","","","Barro Colorado Island","","Panama",NA,NA,NA,NA,"","","K Miller","","B Linard","UK_Panama Scolytids","KX035165","","KX035165"
"GBDL00611",1736,"GBDL00611","BMNH",NA,"1040003","","","","Hypothenemus sp. BMNH 1040003","","Hypothenemus","","","Scolytinae","Curculionidae","Curculionoidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Hypothenemus sp. BMNH 1040003","species",1903776,"representative conspecific","","FIT","","","Barro Colorado Island","","Panama",NA,NA,NA,NA,"","","K Miller","","B Linard","UK_Panama Scolytids","KX035175","","KX035175"
"GBDL00167",1737,"GBDL00167","BMNH",NA,"1040235","","","","Hypothenemus sp. BMNH 1040235","","Hypothenemus","","","Scolytinae","Curculionidae","Curculionoidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Hypothenemus sp. BMNH 1040235","species",1903787,"","","FIT","","","Barro Colorado Island","","Panama",NA,NA,NA,NA,"","","K Miller","","B Linard","UK_Panama Scolytids","KX035186","","KX035186"
"GBDL00475",1738,"GBDL00475","",NA,"","","","","Hypothenemus sp. KM-2015","","Hypothenemus","","","Scolytinae","Curculionidae","Curculionoidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Hypothenemus sp. KM-2015","species",1903811,"nonrepresentative conspecific","","Field capture","","","","","United Kingdom",NA,NA,NA,NA,"","","K Miller","","B Linard","UK_Panama Scolytids","KX035224","","KX035224"
"GBDL00290",1739,"GBDL00290","",NA,"","","","","Iberobaenia minuta","","Iberobaenia","","","","Iberobaeniidae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Iberobaenia minuta","species",1857294,"","","","","","","","",NA,NA,NA,NA,"","","C Andujar","","B Linard","Iberobaenidae","KT825140","","KT825140"
"GBDL02658",1740,"GBDL02658","",NA,"IBE<ESP> AN151","","","","Iberoporus pluto","","Iberoporus","","Hydroporini","Hydroporinae","Dytiscidae","Dytiscoidea","","Adephaga","Coleoptera","Insecta",TRUE,TRUE,"Iberoporus pluto","species",2811596,"","","","","","","","Portugal",NA,NA,NA,NA,"","","Villastrigo A. and Abellan P. and Ribera I.","","","","MW465251","","MW465251"
"BIOD00338",1741,"BIOD00338","BMNH",NA,"1723096","","","MS167","Idgia maculicornis","","","","","","Prionoceridae","Cleroidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"","family",365805,"","","BEATING","Adult","PB","Poring","Sabah","Malaysia",NA,NA,NA,NA,"","","","BIBC_BIP02_F11","Darren Yeo","","","",""
"GBDL02109",1742,"GBDL02109","",NA,"","","","","Idgia oculata","","Idgia","","","","Prionoceridae","Cleroidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Idgia oculata","species",1404354,"","","","","","","","",NA,NA,NA,NA,"","","Wu L. and Nie R. and Bai M. and Yang Y. and Yang Y.X. and Nie R.E.","","","","MH779812","","MH779812"
"GBDL00879",1743,"GBDL00879","BMNH",NA,"1040652","","","","Idgia sp. ACP-2013","","Idgia","","","","Prionoceridae","Cleroidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Idgia sp. ACP-2013","species",1434530,"","","Canopy Fogging","","","Danum Valley","Sabah","Malaysia",NA,NA,NA,NA,"","","A Crampton Platt","","G Prakash","Soup to Tree","MH908172","","MH908172"
"GBDL00625",1744,"GBDL00625","",NA,"","","","","Ignelater luminosus","","Ignelater","","Pyrophorini","Agrypninae","Elateridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Ignelater luminosus","species",2038154,"unconsidered species duplicate","","","","","","","",NA,NA,NA,NA,"","","","","","","MG242621|SRR6339836|GCA_011009095.1","","MG242621"
"GBDL02064",1745,"GBDL02064","",NA,"","","","","Ignelater luminosus","","Ignelater","","Pyrophorini","Agrypninae","Elateridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Ignelater luminosus","species",2038154,"unconsidered species duplicate","","","","","","","",NA,NA,NA,NA,"","","Fallon T.R. and Lower S.E. and Chang C.H. and Bessho-Uehara M. and Martin G.J. and Bewick A.J. and Behringer M. and Debat H.J. and Wong I. and Day J.C. and Suvorov A. and Silva C.J. and Stanger-Hall K.F. and Hall D.W. and Schmitz R.J. and Nelson D.R. and Lewis S.M. and Shigenobu S. and Bybee S.M. and Larracuente A.M. and Oba Y. and Weng J.K. and SanderLower S.E. and Weng J.-K.","","","","MG242621","","MG242621"
"GBDL02757",1746,"GBDL02757","",NA,"","","","","Illeis bistigmosa","","Illeis","","Coccinellini","Coccinellinae","Coccinellidae","Coccinelloidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Illeis bistigmosa","species",2840401,"","","","","","","Xishuangbanna","China",NA,NA,NA,NA,"","","Zhu G. and Zhang Y. and Duan B. and Wu Z. and Wang J. and A H. and Zhang Z.","","","","MZ325765","","MZ325765"
"GBDL03051",1747,"GBDL03051","",NA,"","","","","Illeis cincta","","Illeis","","Coccinellini","Coccinellinae","Coccinellidae","Coccinelloidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Illeis cincta","species",930880,"","","","","","","","",NA,NA,NA,NA,"","","Song N. and Li X.","","","","MF992929","","MF992929"
"GBDL02838",1748,"GBDL02838","",NA,"","","","","Illeis koebelei","","Illeis","","Coccinellini","Coccinellinae","Coccinellidae","Coccinelloidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Illeis koebelei","species",420091,"","","","","","","","",NA,NA,NA,NA,"","","Li W.","","","","OL348433","","OL348433"
"GBDL03019",1749,"GBDL03019","",NA,"","","","","Illeis koebelei","","Illeis","","Coccinellini","Coccinellinae","Coccinellidae","Coccinelloidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Illeis koebelei","species",420091,"","","","","","","","China",NA,NA,NA,NA,"","","Wang B. and Chai D. and Fang R. and Liu W. and Zhang J. and Shuai Z. and Liu Y.","","","","OK012004","","OK012004"
"GBDL01498",1750,"GBDL01498","BMNH",NA,"704496","","","","Imatidium capense","","Imatidium","","","Cassidinae","Chrysomelidae","Chrysomeloidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Imatidium capense","species",294609,"","","","","","","","French Guiana",NA,NA,NA,NA,"","","MJTN Timmermans","","MJTN Timmermans","Mitogenomics Coleoptera","JX220993","","JX220993"
"GBDL01915",1751,"GBDL01915","BMNH",NA,"670733","","","","Incoltorrida madagassica","","Incoltorrida","","","","Torridincolidae","","","Myxophaga","Coleoptera","Insecta",NA,TRUE,"Incoltorrida madagassica","species",442089,"unconsidered species duplicate","","","","","","","Madagascar",NA,NA,NA,NA,"","","Linard B. and Andujar C. and Arribas P. and Vogler A.P.","","","","KX035130","","KX035130"
"GBDL02088",1752,"GBDL02088","",NA,"","","","","Inflata indica","","Inflata","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Inflata indica","species",2483365,"unconsidered species duplicate","","","","","","","Thailand",NA,NA,NA,NA,"","","","","","","MH427718","","MH427718"
"SRAA00009",1754,"SRAA00009","",NA,"","","","","Inopeplus dimidiatus","","Inopeplus","","","","Salpingidae","Tenebrionoidea","Cucujiformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Inopeplus dimidiatus","species",1605521,"","","","","","","","",NA,NA,NA,NA,"","","","","","","SRR2083678","","Inopeplus_dimidiatus"
